# Time-averaged data for fix FEPout
# TimeStep v_param v_deltacdm v_tinst v_pinst v_vinst v_pe c_FEPdb[1] c_FEPdf[1]
288000 0 0.01 298.589 988.329 16427 -6099.01 0.00532042 -0.00493372
289000 0 0.01 306.915 -446.469 16722.2 -6060.53 0.00937956 -0.00899125
290000 0 0.01 299.335 247.645 16917.3 -6048.74 -0.00917967 0.00956159
291000 0 0.01 298.038 -366.929 16915.2 -6103.57 -9.48495e-05 0.000486416
292000 0 0.01 298.377 1108.36 16684.4 -6086.04 0.000415869 -2.6398e-05
293000 0 0.01 297.673 -1039.68 16747.2 -6142.71 0.00674392 -0.00635122
294000 0 0.01 302.769 788.253 16863.6 -6084.56 0.00433151 -0.00394295
295000 0 0.01 306.414 -284.669 16824.3 -6104.87 -3.6644e-05 0.000422917
296000 0 0.01 290.826 -1165.44 16847.4 -6110.41 0.000193493 0.000187597
297000 0 0.01 302.852 154.968 16675.7 -6127.44 0.00178248 -0.00140536
298000 0 0.01 313.025 327.633 16650.4 -6182.12 -0.0130293 0.0134177
299000 0 0.01 284.88 -612.085 16917.2 -6015.09 -0.0015523 0.00194208
300000 0 0.01 306.496 -783.216 17107 -6109.43 0.010326 -0.00993753
301000 0 0.01 299.378 -1269.25 17122.6 -6039.73 -0.00355822 0.00393857
302000 0 0.01 298.799 -877.767 16716.8 -6145.44 0.0216208 -0.0212396
303000 0 0.01 298.054 -242.987 16608.9 -6133.71 -0.00238323 0.00276996
304000 0 0.01 288.906 -1641.27 16694.8 -6160.16 0.0146841 -0.014296
305000 0 0.01 309.95 -591.5 16774.5 -6036.84 0.00783874 -0.00745773
306000 0 0.01 294.081 -5.65587 16820.5 -6067.64 0.00853631 -0.00815543
307000 0 0.01 300.053 1101.86 16567.1 -6145.88 -0.0202469 0.0206333
308000 0 0.01 293.913 -617.612 16902.9 -6138.36 0.00300455 -0.00261227
309000 0 0.01 311.845 850.184 16820.2 -6174.51 -0.0110096 0.0113971
310000 0 0.01 325.353 -1051.01 17050.8 -6068.4 0.0138156 -0.0134299
311000 0 0.01 287.594 -108.728 16557.2 -6081.64 -0.00414891 0.00453166
312000 0 0.01 299.114 -262.066 16719.7 -6062.5 -0.0209428 0.0213282
313000 0 0.01 297.532 363.916 16946.8 -6078.09 -0.00778704 0.00816872
314000 0 0.01 292.832 -141.304 16702.4 -6093.61 0.00370471 -0.00331148
315000 0 0.01 299.479 -376.126 16715.8 -6085.24 -0.0168066 0.0171991
316000 0 0.01 308.719 -562.976 16668 -6088.1 -0.000915114 0.00130993
317000 0 0.01 297.729 13.6972 16753.5 -6128.01 0.0250426 -0.0246511
318000 0 0.01 300.393 -416.598 16996 -6121.21 0.0152463 -0.0148541
319000 0 0.01 306.187 932.761 16612.4 -6084.48 -0.0283778 0.0287714
320000 0 0.01 295.005 18.2261 16929.6 -6079.79 -0.010679 0.0110621
321000 0 0.01 292.799 -212.45 16617 -6123.48 -0.00274297 0.00313084
322000 0 0.01 293.487 -271.052 16707 -6053.9 -0.0168904 0.0172863
323000 0 0.01 296.397 -658.031 16817.4 -6055.27 0.00994795 -0.00955537
324000 0 0.01 301.089 971.27 16686.3 -6091.27 -0.00927255 0.0096677
325000 0 0.01 303.847 1807.93 16452.2 -6188.97 0.00179836 -0.00140577
326000 0 0.01 299.139 1555.65 16701.9 -6146.91 -0.00367606 0.00405751
327000 0 0.01 307.059 -240.325 16737.3 -6178.22 0.00157937 -0.00119763
328000 0 0.01 286.921 366.429 16861 -6094.24 0.0130974 -0.0127049
329000 0 0.01 293.346 -368.152 16789.3 -6142.69 0.00422887 -0.00384107
