# Time-averaged data for fix FEPout
# TimeStep v_param v_deltacdm v_param2 v_tinst v_pinst v_vinst v_pe c_FEPdb[1] c_FEPdf[1]
30239000 0.1 0.01 0 291.511 -572.86 16449.2 -6017.98 -0.000306394 0.000482696
30240000 0.1 0.01 0 302.444 -264.001 16537 -6059.08 -0.000509792 0.000782415
30241000 0.1 0.01 0 301.636 972.021 16375.3 -6097.45 -0.000392016 0.000608045
30242000 0.1 0.01 0 318.089 421.146 16452 -6143.26 -0.00046646 0.000717428
30243000 0.1 0.01 0 294.566 -1534.05 16698.3 -6124.89 -0.000379641 0.000594995
30244000 0.1 0.01 0 298.275 -560.934 16466.3 -6083.95 -0.000375778 0.000589238
30245000 0.1 0.01 0 286.703 237.252 16320.1 -6109.19 -0.00017523 0.000293173
30246000 0.1 0.01 0 304.43 459.181 16353 -6067.87 -0.000597793 0.000907976
30247000 0.1 0.01 0 300.928 8.44316 16395.9 -6076.55 -0.000509782 0.000775213
30248000 0.1 0.01 0 296.51 -225.375 16965.7 -6030.33 -0.000372852 0.00058013
30249000 0.1 0.01 0 286.661 651.57 16536.5 -6060.63 -0.000496586 0.000756222
30250000 0.1 0.01 0 302.284 750.429 16379.9 -6116.72 -0.000415003 0.000645507
30251000 0.1 0.01 0 302.059 1291.1 16377.5 -6105.32 -0.000197798 0.000329878
30252000 0.1 0.01 0 305.066 316.055 16397.3 -6118.06 -0.000325707 0.000513441
30253000 0.1 0.01 0 293.653 -681.158 16632 -6139.18 -0.000378236 0.000587385
30254000 0.1 0.01 0 308.211 -1664.04 16558.6 -6095.38 -0.000534798 0.000814132
30255000 0.1 0.01 0 306.77 -1114.42 16545 -6103.86 -0.000531794 0.000812294
30256000 0.1 0.01 0 311.825 283.408 16518 -6097.09 -0.000528133 0.000806644
30257000 0.1 0.01 0 306.169 -237.652 16540.7 -6116.92 -0.00058145 0.000886114
30258000 0.1 0.01 0 292.784 335.404 16856.4 -6024.85 -0.00048991 0.000750403
30259000 0.1 0.01 0 306.198 122.556 16963.2 -6041.13 -0.000276225 0.000441212
30260000 0.1 0.01 0 304.2 790.913 16661.8 -6111.46 -0.000158474 0.000269165
30261000 0.1 0.01 0 311.222 924.786 16687.1 -6071.47 -0.000427601 0.000658571
30262000 0.1 0.01 0 296.803 1068.88 16357.4 -6073.86 -0.000245229 0.000398588
30263000 0.1 0.01 0 290.451 564.637 16514.6 -6034.85 -0.000464756 0.000714369
30264000 0.1 0.01 0 303.339 -170.104 16641.5 -6142.32 -0.000516969 0.000790722
30265000 0.1 0.01 0 309.673 -215.255 16462.7 -6127.41 -0.000543949 0.000832368
30266000 0.1 0.01 0 312.517 -901.48 16859.3 -6085.14 -0.000409991 0.000639734
30267000 0.1 0.01 0 304.136 -414.797 16505.5 -6109.15 -0.000378423 0.000590089
30268000 0.1 0.01 0 291.944 195.399 16307.2 -6126.89 -0.000575139 0.000872609
30269000 0.1 0.01 0 300.848 -168.086 16364.3 -6126 -0.000480483 0.000740068
30270000 0.1 0.01 0 290.902 -263.135 16236.6 -6109.97 -0.000517138 0.000789518
30271000 0.1 0.01 0 292.124 -641.469 16417 -6096.6 -0.000490483 0.000747823
30272000 0.1 0.01 0 305.989 -544.898 16455.4 -6079.43 -0.000656552 0.000988971
