# Time-averaged data for fix FEPout
# TimeStep v_param v_deltacdm v_param2 v_tinst v_pinst v_vinst v_pe c_FEPdb[1] c_FEPdf[1]
44167000 0 0.01 0 298.097 23.9809 16388.3 -6120.69 1.41772e-08 3.24108e-08
44168000 0 0.01 0 306.999 886.205 16384.4 -6086.82 -5.20231e-10 1.78152e-08
44169000 0 0.01 0 300.241 1379.26 16741.6 -6105.56 -2.46764e-08 -9.70977e-09
44170000 0 0.01 0 294.126 -554.742 16774.8 -6118.36 -2.06273e-09 1.44719e-08
44171000 0 0.01 0 302.245 478.456 16383.6 -6119.07 -4.55111e-09 1.23509e-08
44172000 0 0.01 0 308.388 1667.98 16477.2 -6096.51 -1.05356e-08 5.74073e-09
44173000 0 0.01 0 305.425 314.322 16643.5 -6094.15 -8.22547e-09 7.83984e-09
44174000 0 0.01 0 283.712 -53.9922 16558 -6071.7 -3.15231e-08 -1.7928e-08
44175000 0 0.01 0 298.048 -672.023 16860.8 -6111.47 -3.75076e-09 1.16815e-08
44176000 0 0.01 0 302.965 970.2 16517.8 -6091.71 -2.95586e-08 -1.63818e-08
44177000 0 0.01 0 290.71 234.221 16771.9 -6123.81 -7.89078e-09 7.51606e-09
44178000 0 0.01 0 299.528 -277.67 16477.4 -6092.9 1.26311e-08 3.16431e-08
44179000 0 0.01 0 303.342 -421.793 16551.2 -6086.85 -6.33008e-10 1.5043e-08
44180000 0 0.01 0 307.716 -274.958 16590.4 -6002.16 -5.14592e-08 -4.05125e-08
44181000 0 0.01 0 297.862 -722.207 16734.8 -6081.86 -7.17409e-09 8.80027e-09
44182000 0 0.01 0 306.182 -892.745 16708.5 -6062.42 -5.45697e-11 1.80517e-08
44183000 0 0.01 0 297.363 -539.619 16870.8 -6053.03 -4.02215e-08 -2.98787e-08
44184000 0 0.01 0 309.378 -1336.09 16683 -6078.42 -1.50903e-08 -4.36557e-11
44185000 0 0.01 0 302.178 -216.663 16685.8 -6077.88 -1.68911e-08 -1.10958e-09
44186000 0 0.01 0 300.081 1640.92 16471.6 -6157.63 -1.40353e-08 2.44836e-09
44187000 0 0.01 0 295.551 537.588 16921.2 -6100.71 1.85646e-08 3.75694e-08
44188000 0 0.01 0 286.253 7.67513 16855 -6107.94 4.98403e-10 1.59562e-08
44189000 0 0.01 0 295.782 1225.81 16577.4 -6092.72 -1.54396e-08 8.73115e-11
44190000 0 0.01 0 288.041 494.128 16774.7 -6113.36 -9.93532e-09 5.63159e-09
44191000 0 0.01 0 299.322 554.208 17017.1 -6080.01 -2.07365e-09 1.37989e-08
44192000 0 0.01 0 295.269 -218.187 16597.7 -6064.38 8.46921e-09 2.61898e-08
44193000 0 0.01 0 303.117 20.2082 16771.9 -6021.5 8.30187e-09 2.62662e-08
44194000 0 0.01 0 307.127 180.221 16662.1 -6069.68 -2.16096e-09 1.57233e-08
44195000 0 0.01 0 291.5 245.067 16544.8 -6114.02 9.24047e-09 2.82525e-08
44196000 0 0.01 0 301.847 -487.37 16892.8 -6114.64 7.98173e-09 2.52148e-08
44197000 0 0.01 0 303.162 -273.625 16536.3 -6070.27 1.1707e-08 3.03917e-08
44198000 0 0.01 0 291.403 -577.569 16652 -6136.5 -2.1133e-08 -6.17001e-09
44199000 0 0.01 0 302.174 -611.216 16441.9 -6119.21 -1.64873e-08 -1.76442e-09
44200000 0 0.01 0 305.735 546.545 16428.4 -6055.22 1.32786e-08 3.12175e-08
44201000 0 0.01 0 302.693 843.896 16448.5 -6078.81 -4.63224e-08 -3.57613e-08
44202000 0 0.01 0 302.739 -275.675 16524.7 -6089.6 3.96176e-09 2.24718e-08
44203000 0 0.01 0 299.976 -868.4 16388.9 -6054.32 -3.01989e-08 -1.59744e-08
44204000 0 0.01 0 298.986 -112.475 16527 -6154.08 2.56077e-08 4.61805e-08
44205000 0 0.01 0 303.351 -246.326 16351.6 -6147.93 6.07179e-09 2.34722e-08
44206000 0 0.01 0 287.093 -1511.23 16726.2 -6145.74 -2.00598e-08 -5.11136e-09
44207000 0 0.01 0 298.65 88.9407 16451.5 -6148.16 -8.24366e-09 8.42192e-09
44208000 0 0.01 0 307.32 697.091 16411.2 -6184.06 7.99992e-09 2.5484e-08
44209000 0 0.01 0 301.834 -341.851 16790 -6098.57 1.41699e-08 3.12575e-08
44210000 0 0.01 0 295.028 793.499 16818.7 -6102.84 -9.81527e-09 4.54747e-09
44211000 0 0.01 0 293.899 793.762 16652.6 -6136.47 2.81216e-09 2.04054e-08
44212000 0 0.01 0 292.616 525.926 16575.4 -6085.1 -2.48729e-08 -1.02482e-08
44213000 0 0.01 0 304.383 470.554 16637.8 -6092.73 1.26311e-08 3.06354e-08
44214000 0 0.01 0 305.384 -136.558 16698.7 -6113.05 -1.52104e-08 -6.33008e-10
44215000 0 0.01 0 293.663 235.987 16546.9 -6135.79 -1.54359e-08 -5.56611e-10
44216000 0 0.01 0 297.635 -84.1273 16693.3 -6075.67 1.91758e-08 3.80824e-08
44217000 0 0.01 0 296.389 -630.997 16741.5 -6151.84 -1.04556e-08 4.09636e-09
44218000 0 0.01 0 300.796 -409.084 16775.8 -6122.89 7.11952e-09 2.48838e-08
44219000 0 0.01 0 303.504 782.75 16612.4 -6132.53 -2.18461e-08 -8.23638e-09
44220000 0 0.01 0 310.672 355.018 16664.8 -6049.98 3.17232e-09 1.96669e-08
44221000 0 0.01 0 298.255 157.887 16428.4 -6072.47 2.63572e-08 4.46053e-08
44222000 0 0.01 0 299.504 327.237 16701.7 -6070.19 -1.48575e-08 -1.02955e-09
44223000 0 0.01 0 284.994 -598.441 16540.4 -6147.55 -1.65419e-08 -2.17551e-09
44224000 0 0.01 0 313.499 -13.9461 16668.2 -6142.29 -3.46736e-08 -2.01253e-08
44225000 0 0.01 0 307.159 -33.7363 16414.1 -6093.7 -8.3528e-09 7.73798e-09
44226000 0 0.01 0 300.363 882.729 16407.2 -6121.51 1.22236e-09 1.83318e-08
44227000 0 0.01 0 297.304 949.497 16520.7 -6088.71 1.05974e-08 2.79579e-08
44228000 0 0.01 0 308.246 187.048 16587.4 -6109.75 -4.86762e-09 1.15324e-08
44229000 0 0.01 0 313.912 -703.267 16966.3 -6087.36 1.24492e-08 2.93185e-08
44230000 0 0.01 0 296.735 -270.409 16442.5 -6190.44 4.22006e-10 1.75205e-08
44231000 0 0.01 0 285.558 -196.769 16315.3 -6133.39 2.92312e-08 4.96657e-08
44232000 0 0.01 0 287.548 -1391.32 16523 -6082.82 -1.20635e-08 3.36513e-09
44233000 0 0.01 0 288.545 -747.451 16765.6 -6183.57 -3.43425e-09 1.21436e-08
44234000 0 0.01 0 290.063 -1003.24 16897.6 -6144 -1.9063e-09 1.38207e-08
44235000 0 0.01 0 309.261 229.451 16801.5 -6064.89 1.53159e-08 3.34476e-08
44236000 0 0.01 0 303.787 799.281 16369 -6138.96 2.69938e-09 1.89684e-08
44237000 0 0.01 0 302.024 -409.561 16712.4 -6086.99 -2.89765e-08 -1.60071e-08
44238000 0 0.01 0 301.612 -364.748 16604.9 -6136.02 1.23619e-08 3.13921e-08
