# Time-averaged data for fix FEPout
# TimeStep v_param v_tinst v_pinst v_vinst v_pe c_pe_solute_bond c_pe_solute_pair c_pe_solvent_bond c_pe_solvent_pair c_pe_inter_pair
200000 1 0.733335 0.630518 122.067 -5.69005 0.0492005 0 0 -560.922 -19.5131
201000 1 0.687456 0.00803281 119.876 -5.95364 0.0109637 0 0 -584.319 -22.9631
202000 1 0.668645 0.00165851 123.903 -5.73111 0.0362422 0 0 -566.693 -17.9165
203000 1 0.634902 -0.54981 127.09 -5.67362 0.0371669 0 0 -558.152 -20.5947
204000 1 0.643726 -1.37058 131.543 -5.49084 1.39864 0 0 -537.846 -23.6186
205000 1 0.700938 -0.212928 123.937 -5.71221 0.0302125 0 0 -560.688 -21.9879
206000 1 0.70627 0.590261 121.598 -5.67912 0.74677 0 0 -558.865 -21.1527
207000 1 0.732926 -0.154676 127.147 -5.56363 0.0138364 0 0 -545.404 -22.1006
208000 1 0.650482 -0.40083 124.113 -5.76879 0.133641 0 0 -566.942 -21.6082
209000 1 0.592263 -0.510268 124.148 -5.76328 0.268306 0 0 -567.519 -20.6032
210000 1 0.747859 -0.576234 124.082 -5.8277 0.688604 0 0 -572.076 -23.0383
211000 1 0.699086 0.0804315 121.256 -5.8578 0.00625733 0 0 -575.684 -21.8182
212000 1 0.84758 -0.0437394 127.544 -5.56011 0.306772 0 0 -544.782 -22.6556
213000 1 0.675896 0.75503 122.81 -5.68925 0.00541318 0 0 -558.966 -21.3434
214000 1 0.691115 -0.278235 126.764 -5.58597 0.0324121 0 0 -549.432 -20.369
215000 1 0.630881 -0.206459 127.881 -5.56518 0.0400291 0 0 -547.27 -20.4186
216000 1 0.669484 0.491763 122.188 -5.71613 0.0126346 0 0 -560.05 -23.0079
217000 1 0.699629 1.16754 120.012 -5.74137 0.00796572 0 0 -563.183 -22.4447
218000 1 0.746784 0.0453518 123.893 -5.68358 0.183221 0 0 -557.345 -22.5632
219000 1 0.818711 1.11273 120.793 -5.7818 0.35 0 0 -568.593 -21.5005
220000 1 0.66904 0.804397 121.898 -5.65607 0.135708 0 0 -557.693 -19.3621
221000 1 0.733735 -0.0324418 122.809 -5.80958 0.672503 0 0 -571.38 -21.87
222000 1 0.64835 -0.636309 125.723 -5.71272 0.477871 0 0 -561.881 -21.2939
223000 1 0.767238 0.113819 120.86 -5.92538 0.0437048 0 0 -580.88 -23.5532
224000 1 0.664548 -0.401735 128.485 -5.54642 0.000355206 0 0 -544.059 -21.6765
225000 1 0.683603 -0.337821 125.513 -5.66138 0.503846 0 0 -557.125 -20.8394
226000 1 0.746822 0.503431 123.278 -5.71369 0.00579924 0 0 -562.883 -19.919
227000 1 0.821997 0.307895 125.295 -5.59281 0.00251803 0 0 -548.157 -22.3129
228000 1 0.765163 0.33138 124.282 -5.60364 0.0239563 0 0 -557.896 -13.699
229000 1 0.632135 0.929204 123.983 -5.53147 0.120324 0 0 -543.393 -20.9373
230000 1 0.701563 -0.926137 128.117 -5.61956 0.658283 0 0 -552.187 -21.6656
231000 1 0.590503 0.0373134 124.634 -5.69575 1.37049 0 0 -561.613 -20.7235
232000 1 0.618591 -0.737814 123.593 -5.83916 0.975242 0 0 -573.776 -22.7939
233000 1 0.643591 -0.0594429 127.357 -5.53061 0.374221 0 0 -542.991 -21.5064
234000 1 0.682822 0.385482 121.355 -5.80239 0.0113508 0 0 -570.577 -21.2776
235000 1 0.804945 -0.322311 126.335 -5.6404 0.249153 0 0 -554.339 -21.231
236000 1 0.689651 -0.441831 124.107 -5.78091 0.106663 0 0 -568.612 -21.1473
237000 1 0.64925 -0.229917 126.401 -5.62751 0.193364 0 0 -555.382 -18.8168
238000 1 0.620001 -0.414447 122.413 -5.89285 1.24503 0 0 -581.014 -21.3018
239000 1 0.731331 -0.152962 127.773 -5.49863 0.0911946 0 0 -539.284 -21.6674
240000 1 0.749444 0.424254 121.229 -5.78164 0.0378354 0 0 -568.935 -20.8296
241000 1 0.695935 0.182722 122.269 -5.78426 1.56646 0 0 -568.787 -22.7733
242000 1 0.705332 0.0584105 129.033 -5.44883 0.0427976 0 0 -533.177 -22.6474
243000 1 0.667734 -0.0251181 124.309 -5.7267 0.138757 0 0 -563.291 -20.9717
244000 1 0.672267 -0.661518 129.455 -5.53703 1.27548 0 0 -548.403 -17.6501
245000 1 0.601847 -0.53932 122.954 -5.87474 0.163178 0 0 -580.798 -18.5887
246000 1 0.686288 0.250785 122.977 -5.75671 0.861642 0 0 -568.794 -19.2521
247000 1 0.782157 0.551656 125.313 -5.48254 0.20148 0 0 -539.227 -20.1936
248000 1 0.732699 0.390207 120.766 -5.83561 0.00883457 0 0 -574.109 -21.1313
249000 1 0.723869 -0.248178 125.607 -5.66044 0.106625 0 0 -557.116 -20.3547
250000 1 0.650026 0.20056 120.399 -5.89029 0.0139144 0 0 -579.891 -20.9328
251000 1 0.801938 -0.489169 129.132 -5.50983 0.496603 0 0 -541.675 -20.8248
252000 1 0.728005 0.0136399 119.68 -5.99319 0.0333662 0 0 -589.461 -21.8785
253000 1 0.680811 -0.385273 127.379 -5.58232 0.138902 0 0 -548.699 -20.8367
254000 1 0.681325 0.725831 122.141 -5.698 0.0302481 0 0 -558.351 -22.8751
255000 1 0.687582 -0.114384 130.901 -5.33742 0.0438426 0 0 -522.886 -21.574
256000 1 0.691324 -0.267481 123.89 -5.81745 0.0931607 0 0 -571.609 -21.8632
257000 1 0.707371 -0.595961 124.216 -5.78414 0.010866 0 0 -567.37 -22.6232
258000 1 0.621836 -0.247236 124.868 -5.72165 0.41022 0 0 -562.94 -21.0781
259000 1 0.6673 -0.680196 123.898 -5.8602 0.144928 0 0 -576.318 -21.5679
260000 1 0.704891 -0.321147 128.444 -5.53759 0.0408122 0 0 -543.713 -21.1616
261000 1 0.682641 0.0976751 124.29 -5.62543 0.413442 0 0 -558.655 -15.553
262000 1 0.782446 0.5524 120.986 -5.79802 0.125573 0 0 -568.917 -22.6061
263000 1 0.746614 0.306579 127.445 -5.4813 1.66986 0 0 -540.706 -20.0564
264000 1 0.701683 -0.39353 119.067 -6.05311 1.25779 0 0 -597.537 -21.1376
265000 1 0.722844 -0.320158 126.706 -5.6341 0.246724 0 0 -553.085 -21.8403
266000 1 0.675276 -0.215238 126.01 -5.59083 1.90971 0 0 -553.208 -18.9668
267000 1 0.731583 0.615981 121.268 -5.77891 0.0673212 0 0 -571.594 -17.9223
268000 1 0.73015 0.678996 125.771 -5.48327 0.0824697 0 0 -542.547 -16.8288
269000 1 0.765835 0.473627 122.378 -5.7519 0.641868 0 0 -567.755 -19.5813
270000 1 0.805313 -0.17636 122.969 -5.77479 0.122707 0 0 -568.723 -20.4277
271000 1 0.662057 0.892373 122.756 -5.64735 0.690435 0 0 -555.181 -21.5391
272000 1 0.777152 -0.091089 129.501 -5.43607 0.146908 0 0 -536.173 -18.4524
273000 1 0.619028 0.186381 122.982 -5.7492 0.0948051 0 0 -562.088 -24.4244
274000 1 0.784673 0.314524 126.962 -5.47615 0.970378 0 0 -539.224 -20.3128
275000 1 0.718453 0.125187 123.888 -5.68106 0.358896 0 0 -559.54 -20.2871
276000 1 0.540421 -0.240095 122.252 -5.89313 0.158013 0 0 -580.404 -20.8541
277000 1 0.648696 -0.032286 127.042 -5.53907 0.96092 0 0 -544.151 -21.7957
278000 1 0.67374 -0.427407 124.292 -5.76323 0.408804 0 0 -566.107 -22.1511
