# Time-averaged data for fix FEPout
# TimeStep v_param v_tinst v_pinst v_vinst v_pe c_pe_solute_bond c_pe_solute_pair c_pe_solvent_bond c_pe_solvent_pair c_pe_inter_pair
6140000 1.2 0.67103 0.87839 120.716 -5.7782 0.00383593 0 0 -562.711 -26.6689
6141000 1.2 0.832774 1.1581 115.735 -6.0912 0.00630947 0 0 -592.77 -28.5395
6142000 1.2 0.739996 0.159356 123.548 -5.75475 0.212723 0 0 -558.261 -28.9364
6143000 1.2 0.682403 0.562241 125.486 -5.60344 1.52957 0 0 -548.879 -24.202
6144000 1.2 0.634024 0.659867 117.535 -6.02883 0.00846345 0 0 -588.704 -26.2454
6145000 1.2 0.679069 0.00322782 123.087 -5.79587 0.220223 0 0 -567.351 -24.0478
6146000 1.2 0.772335 -0.599201 125.508 -5.74683 0.645514 0 0 -561.907 -24.9154
6147000 1.2 0.638913 -0.103179 119.946 -6.03435 1.64924e-06 0 0 -588.408 -27.0956
6148000 1.2 0.703638 -0.0455612 128.083 -5.50465 0.00305125 0 0 -535.299 -26.1786
6149000 1.2 0.612997 -0.219192 123.213 -5.82537 0.00572694 0 0 -566.862 -27.331
6150000 1.2 0.574235 -0.18321 125.361 -5.67548 0.12488 0 0 -553.408 -25.6157
6151000 1.2 0.692193 -0.367396 123.337 -5.80943 0.585254 0 0 -565.289 -27.8585
6152000 1.2 0.814802 0.022275 121.992 -5.89862 0.19094 0 0 -574.848 -27.0027
6153000 1.2 0.726679 -0.28408 125.615 -5.74162 0.517562 0 0 -560.071 -26.0922
6154000 1.2 0.713661 -0.570789 127.383 -5.63699 0.0149073 0 0 -549.864 -25.1234
6155000 1.2 0.659345 -0.469979 126.177 -5.69677 0.758839 0 0 -554.923 -26.9066
6156000 1.2 0.662024 0.00448234 121.707 -5.92576 0.0587911 0 0 -575.766 -28.7203
6157000 1.2 0.675114 0.146753 126.47 -5.56772 0.0931612 0 0 -540.409 -27.5923
6158000 1.2 0.796265 0.376346 123.762 -5.69296 0.181473 0 0 -553.326 -27.5372
6159000 1.2 0.848508 0.512975 123.326 -5.72066 0.0106585 0 0 -556.208 -27.3094
6160000 1.2 0.772965 0.126267 125.181 -5.67848 0.00259996 0 0 -553.851 -25.356
6161000 1.2 0.674154 -0.156075 121.698 -5.93285 0.000675057 0 0 -576.202 -28.9495
6162000 1.2 0.756293 -0.289177 127.866 -5.67643 0.134365 0 0 -554.39 -24.7403
6163000 1.2 0.695351 0.18998 123.264 -5.73745 0.0585753 0 0 -559.367 -25.9122
6164000 1.2 0.737766 0.0609998 120.897 -5.90914 0.0158789 0 0 -578.395 -24.3531
6165000 1.2 0.710599 0.221748 129.08 -5.41594 0.0186171 0 0 -528.431 -24.0137
6166000 1.2 0.709693 0.0554564 122.665 -5.82554 0.0422395 0 0 -564.617 -29.6304
6167000 1.2 0.563805 0.327319 127.579 -5.48686 0.0751244 0 0 -535.688 -24.0463
6168000 1.2 0.680055 -0.0566451 119.433 -5.99489 2.10247 0 0 -587.826 -25.7551
